TimeStamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8
1.2475,9.16,8.63,8.63,8.63,8.63,8.63,8.63,8.63
1.2485,9.16,8.68,8.68,8.68,8.68,8.68,8.68,8.68
1.2495,9.16,8.73,8.73,8.73,8.73,8.73,8.73,8.73
1.2505,9.16,8.77,8.77,8.77,8.77,8.77,8.77,8.77
1.2515,9.16,8.82,8.82,8.82,8.82,8.82,8.82,8.82
1.2525,9.16,8.87,8.87,8.87,8.87,8.87,8.87,8.87
1.2535,9.16,8.92,8.92,8.92,8.92,8.92,8.92,8.92
1.2545,9.16,8.96,8.96,8.96,8.96,8.96,8.96,8.96
1.2555,9.16,9.01,9.01,9.01,9.01,9.01,9.01,9.01
1.2565,9.16,9.06,9.06,9.06,9.06,9.06,9.06,9.06
1.2575,9.16,9.11,9.11,9.11,9.11,9.11,9.11,9.11
1.2585,9.16,9.16,9.16,9.16,9.16,9.16,9.16,9.16
1.2595,9.16,9.2,9.2,9.2,9.2,9.2,9.2,9.2
1.2605,9.16,9.25,9.25,9.25,9.25,9.25,9.25,9.25
1.2615,9.16,9.3,9.3,9.3,9.3,9.3,9.3,9.3
1.2625,9.16,9.35,9.35,9.35,9.35,9.35,9.35,9.35
1.2635,9.16,9.39,9.39,9.39,9.39,9.39,9.39,9.39
1.2645,9.16,9.44,9.44,9.44,9.44,9.44,9.44,9.44
1.2655,9.16,9.49,9.49,9.49,9.49,9.49,9.49,9.49
1.2665,9.16,9.54,9.54,9.54,9.54,9.54,9.54,9.54
1.2675,9.16,9.58,9.58,9.58,9.58,9.58,9.58,9.58
1.2685,9.16,9.63,9.63,9.63,9.63,9.63,9.63,9.63
1.2695,9.16,9.68,9.68,9.68,9.68,9.68,9.68,9.68
1.2705,9.16,9.73,9.73,9.73,9.73,9.73,9.73,9.73
1.2715,9.16,9.78,9.78,9.78,9.78,9.78,9.78,9.78
1.2725,9.16,9.82,9.82,9.82,9.82,9.82,9.82,9.82
1.2735,9.16,9.87,9.87,9.87,9.87,9.87,9.87,9.87
1.2745,9.16,9.92,9.92,9.92,9.92,9.92,9.92,9.92
1.2755,9.16,9.97,9.97,9.97,9.97,9.97,9.97,9.97
1.2765,9.16,10.01,10.01,10.01,10.01,10.01,10.01,10.01
1.2775,9.16,10.06,10.06,10.06,10.06,10.06,10.06,10.06
1.2785,9.16,10.11,10.11,10.11,10.11,10.11,10.11,10.11
1.2795,9.16,10.16,10.16,10.16,10.16,10.16,10.16,10.16
1.2805,9.16,10.2,10.2,10.2,10.2,10.2,10.2,10.2
1.2815,9.16,10.25,10.25,10.25,10.25,10.25,10.25,10.25
1.2825,9.16,10.3,10.3,10.3,10.3,10.3,10.3,10.3
1.2835,9.16,10.35,10.35,10.35,10.35,10.35,10.35,10.35
1.2845,9.16,10.4,10.4,10.4,10.4,10.4,10.4,10.4
1.2855,9.16,10.44,10.44,10.44,10.44,10.44,10.44,10.44
1.2865,9.16,10.49,10.49,10.49,10.49,10.49,10.49,10.49
1.2875,9.16,10.54,10.54,10.54,10.54,10.54,10.54,10.54
1.2885,9.16,10.59,10.59,10.59,10.59,10.59,10.59,10.59
1.2895,9.16,10.63,10.63,10.63,10.63,10.63,10.63,10.63
1.2905,9.16,10.68,10.68,10.68,10.68,10.68,10.68,10.68
1.2915,9.16,10.73,10.73,10.73,10.73,10.73,10.73,10.73
1.2925,9.16,10.78,10.78,10.78,10.78,10.78,10.78,10.78
1.2935,9.16,10.82,10.82,10.82,10.82,10.82,10.82,10.82
1.2945,9.16,10.87,10.87,10.87,10.87,10.87,10.87,10.87
1.2955,9.16,10.92,10.92,10.92,10.92,10.92,10.92,10.92
1.2965,9.16,10.97,10.97,10.97,10.97,10.97,10.97,10.97
1.2975,9.16,11.01,11.01,11.01,11.01,11.01,11.01,11.01
1.2985,9.16,11.06,11.06,11.06,11.06,11.06,11.06,11.06
1.2995,9.16,11.11,11.11,11.11,11.11,11.11,11.11,11.11
1.3005,9.16,11.16,11.16,11.16,11.16,11.16,11.16,11.16
1.3015,9.16,11.21,11.21,11.21,11.21,11.21,11.21,11.21
1.3025,9.16,11.25,11.25,11.25,11.25,11.25,11.25,11.25
1.3035,9.16,11.3,11.3,11.3,11.3,11.3,11.3,11.3
1.3045,9.16,11.35,11.35,11.35,11.35,11.35,11.35,11.35
1.3055,9.16,11.4,11.4,11.4,11.4,11.4,11.4,11.4
1.3065,9.16,11.44,11.44,11.44,11.44,11.44,11.44,11.44
1.3075,9.16,11.49,11.49,11.49,11.49,11.49,11.49,11.49
1.3085,9.16,11.54,11.54,11.54,11.54,11.54,11.54,11.54
1.3095,9.16,11.59,11.59,11.59,11.59,11.59,11.59,11.59
1.3105,9.16,11.63,11.63,11.63,11.63,11.63,11.63,11.63
1.3115,9.16,11.68,11.68,11.68,11.68,11.68,11.68,11.68
1.3125,9.16,11.73,11.73,11.73,11.73,11.73,11.73,11.73
1.3135,9.16,11.78,11.78,11.78,11.78,11.78,11.78,11.78
1.3145,9.16,11.83,11.83,11.83,11.83,11.83,11.83,11.83
1.3155,9.16,11.87,11.87,11.87,11.87,11.87,11.87,11.87
1.3165,9.16,11.92,11.92,11.92,11.92,11.92,11.92,11.92
1.3175,9.16,11.97,11.97,11.97,11.97,11.97,11.97,11.97
1.3185,9.16,12.02,12.02,12.02,12.02,12.02,12.02,12.02
1.3195,9.16,12.06,12.06,12.06,12.06,12.06,12.06,12.06
1.3205,9.16,12.11,12.11,12.11,12.11,12.11,12.11,12.11
1.3215,9.16,12.16,12.16,12.16,12.16,12.16,12.16,12.16
1.3225,9.16,12.21,12.21,12.21,12.21,12.21,12.21,12.21
1.3235,9.16,12.25,12.25,12.25,12.25,12.25,12.25,12.25
1.3245,9.16,12.3,12.3,12.3,12.3,12.3,12.3,12.3
1.3255,9.16,12.35,12.35,12.35,12.35,12.35,12.35,12.35
1.3265,9.16,12.4,12.4,12.4,12.4,12.4,12.4,12.4
1.3275,9.16,12.45,12.45,12.45,12.45,12.45,12.45,12.45
1.3285,9.16,12.49,12.49,12.49,12.49,12.49,12.49,12.49
1.3295,9.16,12.54,12.54,12.54,12.54,12.54,12.54,12.54
1.3305,9.16,12.59,12.59,12.59,12.59,12.59,12.59,12.59
1.3315,9.16,12.64,12.64,12.64,12.64,12.64,12.64,12.64
1.3325,9.16,12.68,12.68,12.68,12.68,12.68,12.68,12.68
1.3335,9.16,12.73,12.73,12.73,12.73,12.73,12.73,12.73
1.3345,9.16,12.78,12.78,12.78,12.78,12.78,12.78,12.78
1.3355,9.16,12.83,12.83,12.83,12.83,12.83,12.83,12.83
1.3365,9.16,12.87,12.87,12.87,12.87,12.87,12.87,12.87
1.3375,9.16,12.92,12.92,12.92,12.92,12.92,12.92,12.92
1.3385,9.16,12.97,12.97,12.97,12.97,12.97,12.97,12.97
1.3395,9.16,13.02,13.02,13.02,13.02,13.02,13.02,13.02
1.3405,9.16,13.07,13.07,13.07,13.07,13.07,13.07,13.07
1.3415,9.16,13.11,13.11,13.11,13.11,13.11,13.11,13.11
1.3425,9.16,13.16,13.16,13.16,13.16,13.16,13.16,13.16
1.3435,9.16,13.21,13.21,13.21,13.21,13.21,13.21,13.21
1.3445,9.16,13.26,13.26,13.26,13.26,13.26,13.26,13.26
1.3455,9.16,13.3,13.3,13.3,13.3,13.3,13.3,13.3
1.3465,9.16,13.35,13.35,13.35,13.35,13.35,13.35,13.35
1.3475,9.16,13.4,13.4,13.4,13.4,13.4,13.4,13.4
1.3485,9.16,13.45,13.45,13.45,13.45,13.45,13.45,13.45
1.3495,9.16,13.49,13.49,13.49,13.49,13.49,13.49,13.49
1.3505,9.16,13.54,13.54,13.54,13.54,13.54,13.54,13.54
1.3515,9.16,13.59,13.59,13.59,13.59,13.59,13.59,13.59
1.3525,9.16,13.64,13.64,13.64,13.64,13.64,13.64,13.64
1.3535,9.16,13.69,13.69,13.69,13.69,13.69,13.69,13.69
1.3545,9.16,13.73,13.73,13.73,13.73,13.73,13.73,13.73
1.3555,9.16,13.78,13.78,13.78,13.78,13.78,13.78,13.78
1.3565,9.16,13.83,13.83,13.83,13.83,13.83,13.83,13.83
1.3575,9.16,13.88,13.88,13.88,13.88,13.88,13.88,13.88
1.3585,9.16,13.92,13.92,13.92,13.92,13.92,13.92,13.92
1.3595,9.16,13.97,13.97,13.97,13.97,13.97,13.97,13.97
1.3605,9.16,14.02,14.02,14.02,14.02,14.02,14.02,14.02
1.3615,9.16,14.07,14.07,14.07,14.07,14.07,14.07,14.07
1.3625,9.16,14.11,14.11,14.11,14.11,14.11,14.11,14.11
1.3635,9.16,14.16,14.16,14.16,14.16,14.16,14.16,14.16
1.3645,9.16,14.21,14.21,14.21,14.21,14.21,14.21,14.21
1.3655,9.16,14.26,14.26,14.26,14.26,14.26,14.26,14.26
1.3665,9.16,14.31,14.31,14.31,14.31,14.31,14.31,14.31
1.3675,9.16,14.35,14.35,14.35,14.35,14.35,14.35,14.35
1.3685,9.16,14.4,14.4,14.4,14.4,14.4,14.4,14.4
1.3695,9.16,14.45,14.45,14.45,14.45,14.45,14.45,14.45
1.3705,9.16,14.5,14.5,14.5,14.5,14.5,14.5,14.5
1.3715,9.16,14.54,14.54,14.54,14.54,14.54,14.54,14.54
1.3725,9.16,14.59,14.59,14.59,14.59,14.59,14.59,14.59
1.3735,9.16,14.64,14.64,14.64,14.64,14.64,14.64,14.64
1.3745,9.16,14.69,14.69,14.69,14.69,14.69,14.69,14.69
1.3755,9.16,14.73,14.73,14.73,14.73,14.73,14.73,14.73
1.3765,9.16,14.78,14.78,14.78,14.78,14.78,14.78,14.78
1.3775,9.16,14.83,14.83,14.83,14.83,14.83,14.83,14.83
1.3785,9.16,14.88,14.88,14.88,14.88,14.88,14.88,14.88
1.3795,9.16,14.93,14.93,14.93,14.93,14.93,14.93,14.93
1.3805,9.16,14.97,14.97,14.97,14.97,14.97,14.97,14.97
1.3815,9.16,15.02,15.02,15.02,15.02,15.02,15.02,15.02
1.3825,9.16,15.07,15.07,15.07,15.07,15.07,15.07,15.07
1.3835,9.16,15.12,15.12,15.12,15.12,15.12,15.12,15.12
1.3845,9.16,15.16,15.16,15.16,15.16,15.16,15.16,15.16
1.3855,9.16,15.21,15.21,15.21,15.21,15.21,15.21,15.21
1.3865,9.16,15.26,15.26,15.26,15.26,15.26,15.26,15.26
1.3875,9.16,15.31,15.31,15.31,15.31,15.31,15.31,15.31
1.3885,9.16,15.35,15.35,15.35,15.35,15.35,15.35,15.35
1.3895,9.16,15.4,15.4,15.4,15.4,15.4,15.4,15.4
1.3905,9.16,15.45,15.45,15.45,15.45,15.45,15.45,15.45
1.3915,9.16,15.5,15.5,15.5,15.5,15.5,15.5,15.5
1.3925,9.16,15.54,15.54,15.54,15.54,15.54,15.54,15.54
1.3935,9.16,15.59,15.59,15.59,15.59,15.59,15.59,15.59
1.3945,9.16,15.64,15.64,15.64,15.64,15.64,15.64,15.64
1.3955,9.16,15.69,15.69,15.69,15.69,15.69,15.69,15.69
1.3965,9.16,15.74,15.74,15.74,15.74,15.74,15.74,15.74
1.3975,9.16,15.78,15.78,15.78,15.78,15.78,15.78,15.78
1.3985,9.16,15.83,15.83,15.83,15.83,15.83,15.83,15.83
1.3995,9.16,15.88,15.88,15.88,15.88,15.88,15.88,15.88
1.4005,9.16,15.93,15.93,15.93,15.93,15.93,15.93,15.93
1.4015,9.16,15.97,15.97,15.97,15.97,15.97,15.97,15.97
1.4025,9.16,16.02,16.02,16.02,16.02,16.02,16.02,16.02
1.4035,9.16,16.07,16.07,16.07,16.07,16.07,16.07,16.07
1.4045,9.16,16.12,16.12,16.12,16.12,16.12,16.12,16.12
1.4055,9.16,16.16,16.16,16.16,16.16,16.16,16.16,16.16
1.4065,9.16,16.21,16.21,16.21,16.21,16.21,16.21,16.21
1.4075,9.16,16.26,16.26,16.26,16.26,16.26,16.26,16.26
1.4085,9.16,16.31,16.31,16.31,16.31,16.31,16.31,16.31
1.4095,9.16,16.36,16.36,16.36,16.36,16.36,16.36,16.36
1.4105,9.16,16.4,16.4,16.4,16.4,16.4,16.4,16.4
1.4115,9.16,16.45,16.45,16.45,16.45,16.45,16.45,16.45
1.4125,9.16,16.5,16.5,16.5,16.5,16.5,16.5,16.5
1.4135,9.16,16.55,16.55,16.55,16.55,16.55,16.55,16.55
1.4145,9.16,16.59,16.59,16.59,16.59,16.59,16.59,16.59
1.4155,9.16,16.64,16.64,16.64,16.64,16.64,16.64,16.64
1.4165,9.16,16.69,16.69,16.69,16.69,16.69,16.69,16.69
1.4175,9.16,16.74,16.74,16.74,16.74,16.74,16.74,16.74
1.4185,9.16,16.78,16.78,16.78,16.78,16.78,16.78,16.78
1.4195,9.16,16.83,16.83,16.83,16.83,16.83,16.83,16.83
1.4205,9.16,16.88,16.88,16.88,16.88,16.88,16.88,16.88
1.4215,9.16,16.93,16.93,16.93,16.93,16.93,16.93,16.93
1.4225,9.16,16.98,16.98,16.98,16.98,16.98,16.98,16.98
1.4235,9.16,17.02,17.02,17.02,17.02,17.02,17.02,17.02
1.4245,9.16,17.07,17.07,17.07,17.07,17.07,17.07,17.07
1.4255,9.16,17.12,17.12,17.12,17.12,17.12,17.12,17.12
1.4265,9.16,17.17,17.17,17.17,17.17,17.17,17.17,17.17
1.4275,9.16,17.21,17.21,17.21,17.21,17.21,17.21,17.21
1.4285,9.16,17.26,17.26,17.26,17.26,17.26,17.26,17.26
1.4295,9.16,17.31,17.31,17.31,17.31,17.31,17.31,17.31
1.4305,9.16,17.36,17.36,17.36,17.36,17.36,17.36,17.36
1.4315,9.16,17.4,17.4,17.4,17.4,17.4,17.4,17.4
1.4325,9.16,17.45,17.45,17.45,17.45,17.45,17.45,17.45
1.4335,9.16,17.5,17.5,17.5,17.5,17.5,17.5,17.5
1.4345,9.16,17.55,17.55,17.55,17.55,17.55,17.55,17.55
1.4355,9.16,17.6,17.6,17.6,17.6,17.6,17.6,17.6
1.4365,9.16,17.64,17.64,17.64,17.64,17.64,17.64,17.64
1.4375,9.16,17.69,17.69,17.69,17.69,17.69,17.69,17.69
1.4385,9.16,17.74,17.74,17.74,17.74,17.74,17.74,17.74
1.4395,9.16,17.79,17.79,17.79,17.79,17.79,17.79,17.79
1.4405,9.16,17.83,17.83,17.83,17.83,17.83,17.83,17.83
1.4415,9.16,17.88,17.88,17.88,17.88,17.88,17.88,17.88
